[INFO] Processing batch 0: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 13: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 14: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 15: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 16: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 17: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 18: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 19: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 20: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 21: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 22: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 23: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 24: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 25: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 26: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 27: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 28: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 29: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 30: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 31: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 32: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 33: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 34: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 35: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 36: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 37: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 38: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 39: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
