============================= test session starts ==============================
platform linux -- Python 3.12.2, pytest-8.1.1, pluggy-1.4.0 -- /usr/bin/python3
cachedir: .pytest_cache
rootdir: /home/user/project
configfile: pyproject.toml
plugins: cov-5.0.0, mock-3.12.0, anyio-4.3.0
tests/test_orders.py::test_case_027 PASSED [ 21%]
tests/test_orders.py::test_case_028 PASSED [ 21%]
tests/test_orders.py::test_case_029 PASSED [ 21%]
tests/test_orders.py::test_case_030 PASSED [ 22%]
tests/test_payments.py::test_case_000 PASSED [ 22%]
tests/test_payments.py::test_case_001 PASSED [ 23%]
tests/test_payments.py::test_case_002 PASSED [ 23%]
tests/test_payments.py::test_case_003 PASSED [ 23%]
tests/test_payments.py::test_case_004 PASSED [ 24%]
tests/test_payments.py::test_case_005 PASSED [ 24%]
tests/test_payments.py::test_case_006 PASSED [ 25%]
tests/test_payments.py::test_case_007 PASSED [ 25%]
tests/test_payments.py::test_case_008 PASSED [ 25%]
tests/test_payments.py::test_case_009 PASSED [ 26%]
tests/test_payments.py::test_case_010 PASSED [ 26%]
tests/test_payments.py::test_case_011 PASSED [ 27%]
tests/test_payments.py::test_case_012 PASSED [ 27%]
tests/test_payments.py::test_case_013 PASSED [ 27%]
tests/test_payments.py::test_case_014 PASSED [ 28%]
tests/test_payments.py::test_case_015 PASSED [ 28%]
tests/test_payments.py::test_case_016 PASSED [ 29%]
tests/test_payments.py::test_case_017 PASSED [ 29%]
tests/test_notifications.py::test_case_000 PASSED [ 29%]
tests/test_notifications.py::test_case_001 PASSED [ 30%]
tests/test_notifications.py::test_case_002 PASSED [ 30%]
tests/test_notifications.py::test_case_003 PASSED [ 31%]
tests/test_notifications.py::test_case_004 PASSED [ 31%]
tests/test_notifications.py::test_case_005 PASSED [ 31%]
tests/test_notifications.py::test_case_006 PASSED [ 32%]
tests/test_notifications.py::test_case_007 PASSED [ 32%]
tests/test_notifications.py::test_case_008 PASSED [ 33%]
tests/test_notifications.py::test_case_009 PASSED [ 33%]
tests/test_notifications.py::test_case_010 PASSED [ 34%]
tests/test_notifications.py::test_case_011 PASSED [ 34%]
tests/test_auth.py::test_case_000 PASSED [ 34%]
tests/test_auth.py::test_case_001 PASSED [ 35%]
tests/test_auth.py::test_case_002 PASSED [ 35%]
tests/test_auth.py::test_case_003 PASSED [ 36%]
tests/test_auth.py::test_case_004 PASSED [ 36%]
tests/test_auth.py::test_case_005 PASSED [ 36%]
tests/test_auth.py::test_case_006 PASSED [ 37%]
tests/test_auth.py::test_case_007 PASSED [ 37%]
tests/test_auth.py::test_case_008 PASSED [ 38%]
tests/test_auth.py::test_case_009 PASSED [ 38%]
tests/test_auth.py::test_case_010 PASSED [ 38%]
tests/test_auth.py::test_case_011 PASSED [ 39%]
tests/test_auth.py::test_case_012 PASSED [ 39%]
tests/test_auth.py::test_case_013 PASSED [ 40%]
tests/test_auth.py::test_case_014 PASSED [ 40%]
tests/test_auth.py::test_case_015 PASSED [ 40%]
tests/test_auth.py::test_case_016 PASSED [ 41%]
tests/test_auth.py::test_case_017 PASSED [ 41%]
tests/test_auth.py::test_case_018 PASSED [ 42%]
tests/test_auth.py::test_case_019 PASSED [ 42%]
tests/test_auth.py::test_case_020 PASSED [ 42%]
tests/test_auth.py::test_case_021 PASSED [ 43%]
tests/test_api.py::test_case_000 PASSED [ 43%]
tests/test_api.py::test_case_001 PASSED [ 44%]
tests/test_api.py::test_case_002 PASSED [ 44%]
tests/test_api.py::test_case_003 PASSED [ 44%]
tests/test_api.py::test_case_004 PASSED [ 45%]
tests/test_api.py::test_case_005 FAILED [ 45%]
tests/test_api.py::test_case_006 PASSED [ 46%]
tests/test_api.py::test_case_007 PASSED [ 46%]
tests/test_api.py::test_case_008 PASSED [ 46%]
tests/test_api.py::test_case_009 PASSED [ 47%]
tests/test_api.py::test_case_010 PASSED [ 47%]
tests/test_api.py::test_case_011 PASSED [ 48%]
tests/test_api.py::test_case_012 PASSED [ 48%]
tests/test_api.py::test_case_013 PASSED [ 48%]
tests/test_api.py::test_case_014 PASSED [ 49%]
tests/test_api.py::test_case_015 PASSED [ 49%]
tests/test_api.py::test_case_016 PASSED [ 50%]
tests/test_api.py::test_case_017 PASSED [ 50%]
tests/test_api.py::test_case_018 PASSED [ 51%]
tests/test_api.py::test_case_019 PASSED [ 51%]
tests/test_api.py::test_case_020 PASSED [ 51%]
tests/test_api.py::test_case_021 PASSED [ 52%]
tests/test_api.py::test_case_022 PASSED [ 52%]
tests/test_api.py::test_case_023 PASSED [ 53%]
tests/test_api.py::test_case_024 PASSED [ 53%]
tests/test_api.py::test_case_025 PASSED [ 53%]
tests/test_api.py::test_case_026 PASSED [ 54%]
tests/test_api.py::test_case_027 PASSED [ 54%]
tests/test_api.py::test_case_028 PASSED [ 55%]
tests/test_api.py::test_case_029 PASSED [ 55%]
tests/test_api.py::test_case_030 PASSED [ 55%]
tests/test_api.py::test_case_031 PASSED [ 56%]
tests/test_api.py::test_case_032 PASSED [ 56%]
tests/test_api.py::test_case_033 PASSED [ 57%]
tests/test_api.py::test_case_034 PASSED [ 57%]
tests/test_api.py::test_case_035 PASSED [ 57%]
tests/test_api.py::test_case_036 PASSED [ 58%]
tests/test_api.py::test_case_037 PASSED [ 58%]
tests/test_api.py::test_case_038 PASSED [ 59%]
tests/test_api.py::test_case_039 PASSED [ 59%]
tests/test_api.py::test_case_040 PASSED [ 59%]
tests/test_api.py::test_case_041 PASSED [ 60%]
tests/test_api.py::test_case_042 PASSED [ 60%]
tests/test_api.py::test_case_043 PASSED [ 61%]
tests/test_api.py::test_case_044 PASSED [ 61%]
tests/test_models.py::test_case_000 PASSED [ 61%]
tests/test_models.py::test_case_001 PASSED [ 62%]
tests/test_models.py::test_case_002 PASSED [ 62%]
tests/test_models.py::test_case_003 PASSED [ 63%]
tests/test_models.py::test_case_004 PASSED [ 63%]
tests/test_models.py::test_case_005 PASSED [ 63%]
tests/test_models.py::test_case_006 PASSED [ 64%]
tests/test_models.py::test_case_007 PASSED [ 64%]
tests/test_models.py::test_case_008 PASSED [ 65%]
tests/test_models.py::test_case_009 PASSED [ 65%]
tests/test_models.py::test_case_010 PASSED [ 65%]
tests/test_models.py::test_case_011 PASSED [ 66%]
tests/test_models.py::test_case_012 PASSED [ 66%]
tests/test_models.py::test_case_013 PASSED [ 67%]
tests/test_models.py::test_case_014 PASSED [ 67%]
tests/test_models.py::test_case_015 PASSED [ 68%]
tests/test_models.py::test_case_016 PASSED [ 68%]
tests/test_models.py::test_case_017 PASSED [ 68%]
tests/test_models.py::test_case_018 PASSED [ 69%]
tests/test_models.py::test_case_019 PASSED [ 69%]
tests/test_models.py::test_case_020 PASSED [ 70%]
tests/test_models.py::test_case_021 PASSED [ 70%]
tests/test_models.py::test_case_022 PASSED [ 70%]
tests/test_models.py::test_case_023 PASSED [ 71%]
tests/test_models.py::test_case_024 PASSED [ 71%]
tests/test_models.py::test_case_025 PASSED [ 72%]
tests/test_models.py::test_case_026 PASSED [ 72%]
tests/test_models.py::test_case_027 PASSED [ 72%]
tests/test_models.py::test_case_028 PASSED [ 73%]
tests/test_models.py::test_case_029 PASSED [ 73%]
tests/test_models.py::test_case_030 PASSED [ 74%]
tests/test_models.py::test_case_031 PASSED [ 74%]
tests/test_models.py::test_case_032 PASSED [ 74%]
tests/test_models.py::test_case_033 PASSED [ 75%]
tests/test_models.py::test_case_034 PASSED [ 75%]
tests/test_models.py::test_case_035 PASSED [ 76%]
tests/test_models.py::test_case_036 PASSED [ 76%]
tests/test_models.py::test_case_037 PASSED [ 76%]
tests/test_serializers.py::test_case_000 FAILED [ 77%]
tests/test_serializers.py::test_case_001 PASSED [ 77%]
tests/test_serializers.py::test_case_002 PASSED [ 78%]
tests/test_serializers.py::test_case_003 PASSED [ 78%]
tests/test_serializers.py::test_case_004 PASSED [ 78%]
tests/test_serializers.py::test_case_005 PASSED [ 79%]
tests/test_serializers.py::test_case_006 PASSED [ 79%]
tests/test_serializers.py::test_case_007 PASSED [ 80%]
tests/test_serializers.py::test_case_008 PASSED [ 80%]
tests/test_serializers.py::test_case_009 PASSED [ 80%]
tests/test_serializers.py::test_case_010 PASSED [ 81%]
tests/test_serializers.py::test_case_011 PASSED [ 81%]
tests/test_serializers.py::test_case_012 PASSED [ 82%]
tests/test_serializers.py::test_case_013 PASSED [ 82%]
tests/test_serializers.py::test_case_014 PASSED [ 82%]
tests/test_serializers.py::test_case_015 PASSED [ 83%]
tests/test_serializers.py::test_case_016 PASSED [ 83%]
tests/test_serializers.py::test_case_017 PASSED [ 84%]
tests/test_serializers.py::test_case_018 PASSED [ 84%]
tests/test_serializers.py::test_case_019 PASSED [ 85%]
tests/test_serializers.py::test_case_020 PASSED [ 85%]
tests/test_serializers.py::test_case_021 PASSED [ 85%]
tests/test_serializers.py::test_case_022 PASSED [ 86%]
tests/test_serializers.py::test_case_023 PASSED [ 86%]
tests/test_serializers.py::test_case_024 PASSED [ 87%]
tests/test_serializers.py::test_case_025 PASSED [ 87%]
tests/test_serializers.py::test_case_026 PASSED [ 87%]
tests/test_validators.py::test_case_000 PASSED [ 88%]
tests/test_validators.py::test_case_001 PASSED [ 88%]
tests/test_validators.py::test_case_002 PASSED [ 89%]
tests/test_validators.py::test_case_003 PASSED [ 89%]
tests/test_validators.py::test_case_004 PASSED [ 89%]
tests/test_validators.py::test_case_005 PASSED [ 90%]
tests/test_validators.py::test_case_006 PASSED [ 90%]
tests/test_validators.py::test_case_007 PASSED [ 91%]
tests/test_validators.py::test_case_008 PASSED [ 91%]
tests/test_validators.py::test_case_009 PASSED [ 91%]
tests/test_validators.py::test_case_010 PASSED [ 92%]
tests/test_validators.py::test_case_011 PASSED [ 92%]
tests/test_validators.py::test_case_012 PASSED [ 93%]
tests/test_validators.py::test_case_013 PASSED [ 93%]
tests/test_validators.py::test_case_014 PASSED [ 93%]
tests/test_validators.py::test_case_015 PASSED [ 94%]
tests/test_validators.py::test_case_016 PASSED [ 94%]
tests/test_validators.py::test_case_017 PASSED [ 95%]
tests/test_validators.py::test_case_018 PASSED [ 95%]
tests/test_utils.py::test_case_000 PASSED [ 95%]
tests/test_utils.py::test_case_001 PASSED [ 96%]
tests/test_utils.py::test_case_002 PASSED [ 96%]
tests/test_utils.py::test_case_003 PASSED [ 97%]
tests/test_utils.py::test_case_004 PASSED [ 97%]
tests/test_utils.py::test_case_005 PASSED [ 97%]
tests/test_utils.py::test_case_006 PASSED [ 98%]
tests/test_utils.py::test_case_007 PASSED [ 98%]
tests/test_utils.py::test_case_008 PASSED [ 99%]
tests/test_utils.py::test_case_009 PASSED [ 99%]
tests/test_utils.py::test_case_010 PASSED [100%]

=================================== FAILURES ===================================
_________________________ test_case_023 (test_payments) _________________________

    def test_charge_card_with_invalid_token():
        token = 'tok_invalid_xyz'
>       result = charge_card(token, amount=1000)
E       payments.exceptions.InvalidTokenError: Token 'tok_invalid_xyz' is not recognized by gateway

tests/test_payments.py:42: InvalidTokenError
_________________________ test_case_005 (test_api) _________________________

    def test_post_user_creates_record():
        response = client.post('/users', json={'email': 'a@b.com'})
>       assert response.status_code == 201
E       assert 500 == 201
E        +  where 500 = <Response [500]>.status_code

tests/test_api.py:78: AssertionError
=========================== short test summary info ============================
FAILED tests/test_payments.py::test_case_023 - InvalidTokenError
FAILED tests/test_api.py::test_case_005 - AssertionError
================== 2 failed, 245 passed in 12.42s ===================
